scenario,candidate,model,interior_knot_count,basis_count,smoothness_penalty,v_bin_index,v_bin,v_start_px,v_end_px,point_count,frame_count,bias_mm,rmse_mm,p95_abs_mm,p99_abs_mm,max_abs_mm
full36_grouped_cv_non027,C1_3k,C0+C1,3,7,0.1,3,v_0300_0400,300.0,400.0,905,25,0.06759701214475648,0.10335063756051277,0.22059367313744715,0.26476459607570335,0.3712406125814935
full36_grouped_cv_non027,C1_3k,C0+C1,3,7,0.1,4,v_0400_0500,400.0,500.0,1012,29,0.02568882462332815,0.07693626287441643,0.12979851940197784,0.18635365419179173,0.40226529538785516
full36_grouped_cv_non027,C1_3k,C0+C1,3,7,0.1,5,v_0500_0600,500.0,600.0,1289,29,-0.009370148644703615,0.06577764975038909,0.12290918725337811,0.17814688063658204,0.27842174407875203
full36_grouped_cv_non027,C1_3k,C0+C1,3,7,0.1,6,v_0600_0700,600.0,700.0,1351,30,-0.04324507647091845,0.07853134557356205,0.146094218364955,0.18973998347352103,0.3754232305259176
full36_grouped_cv_non027,C1_3k,C0+C1,3,7,0.1,7,v_0700_0800,700.0,800.0,999,30,-0.08043748947866831,0.10345007911171178,0.19909056240555587,0.23883339774596302,0.3554931254135335
full36_grouped_cv_non027,C1_3k,C0+C1,3,7,0.1,8,v_0800_0900,800.0,900.0,1115,32,-0.06464677449808187,0.09433423763053521,0.1789192905512578,0.22945816525992435,0.28496432805225025
full36_grouped_cv_non027,C1_3k,C0+C1,3,7,0.1,9,v_0900_1000,900.0,1000.0,1507,34,-0.030425799819641594,0.06861491709780071,0.12366438977827644,0.18264227355405002,0.23956728183762674
full36_grouped_cv_non027,C1_3k,C0+C1,3,7,0.1,10,v_1000_1100,1000.0,1100.0,1517,35,0.006078380907753092,0.060257846205954126,0.11297113806054475,0.16141262596380815,0.22180654764048008
full36_grouped_cv_non027,C1_3k,C0+C1,3,7,0.1,11,v_1100_1200,1100.0,1200.0,1240,35,0.04064112957250829,0.07667239835579756,0.15018349521291086,0.211095029696358,0.37668518201531326
full36_grouped_cv_non027,C1_3k,C0+C1,3,7,0.1,12,v_1200_1300,1200.0,1300.0,1411,35,0.06912108526056746,0.08727684010869131,0.1602833315717531,0.19468866023369888,0.265133481003218
full36_grouped_cv_non027,C1_3k,C0+C1,3,7,0.1,13,v_1300_1400,1300.0,1400.0,1526,35,0.05135920171559284,0.07689974209246186,0.14617731832786535,0.1740873393714106,0.2418549030871518
full36_grouped_cv_non027,C1_3k,C0+C1,3,7,0.1,14,v_1400_1500,1400.0,1500.0,1541,35,0.031991430554524164,0.06109942057277063,0.11956542899629823,0.15401423606960762,0.19871390266415753
full36_grouped_cv_non027,C1_3k,C0+C1,3,7,0.1,15,v_1500_1600,1500.0,1600.0,1513,35,0.002862596660081205,0.05954702642273021,0.11791325335643034,0.19441072835376594,0.28803006145091825
full36_grouped_cv_non027,C1_3k,C0+C1,3,7,0.1,16,v_1600_1700,1600.0,1700.0,1431,35,-0.041214142055002775,0.07813352238894228,0.14866758417222595,0.20142643653789893,0.39076841181320854
full36_grouped_cv_non027,C1_3k,C0+C1,3,7,0.1,17,v_1700_1800,1700.0,1800.0,1388,35,-0.03885731888685405,0.07346776536675605,0.1438935922513389,0.17648891560746902,0.2064727194393243
full36_grouped_cv_non027,C1_3k,C0+C1,3,7,0.1,18,v_1800_1900,1800.0,1900.0,1321,35,-0.017414234799047183,0.06844663642924113,0.13568081256608436,0.1854480689004378,0.2971860977046762
full36_grouped_cv_non027,C1_3k,C0+C1,3,7,0.1,19,v_1900_2000,1900.0,2000.0,1252,35,-0.018896205447066473,0.06657052906999993,0.13903673345204315,0.17348226947589193,0.25731168249759434
full36_grouped_cv_non027,C1_3k,C0+C1,3,7,0.1,20,v_2000_2100,2000.0,2100.0,1126,30,-0.010251871829379509,0.06709863944856384,0.1439500020917303,0.19602833189044935,0.25974423474010466
full36_grouped_cv_non027,C1_3k,C0+C1,3,7,0.1,21,v_2100_2200,2100.0,2200.0,842,25,-0.010757639055904317,0.0707265722219582,0.16607029509669524,0.19566531745697927,0.24237295701276046
full36_grouped_cv_non027,C1_3k,C0+C1,3,7,0.1,22,v_2200_2300,2200.0,2300.0,689,23,0.006454838858309998,0.06593373726917685,0.13301218083854394,0.20412712785564013,0.30729316071504703
full36_grouped_cv_non027,C1_3k,C0+C1,3,7,0.1,23,v_2300_2400,2300.0,2400.0,948,24,0.02865424048695976,0.07425636347274955,0.12459930636674607,0.28110763795670496,0.5353196154493659
full36_grouped_cv_non027,C1_3k,C0+C1,3,7,0.1,24,v_2400_2500,2400.0,2500.0,1089,24,0.040981217095683475,0.07092171908876889,0.15167352912656976,0.2213875071130865,0.22329996425787366
full36_grouped_cv_non027,C1_3k,C0+C1,3,7,0.1,25,v_2500_2600,2500.0,2600.0,813,24,0.03140270951466892,0.06804436815001723,0.1384645910334219,0.18720903546462384,0.26861965544459443
full36_grouped_cv_non027,C1_3k,C0+C1,3,7,0.1,26,v_2600_2700,2600.0,2700.0,441,20,0.026789746277621655,0.06483042064848955,0.14345313833064918,0.20155278702830642,0.2330286461573151
full36_grouped_cv_non027,C1_3k,C0+C1,3,7,0.1,27,v_2700_2800,2700.0,2800.0,541,18,-0.009435238397068932,0.07138094003920527,0.14245775535729868,0.2172236561601555,0.36301493207863544
full36_grouped_cv_non027,C1_3k,C0+C1,3,7,0.1,28,v_2800_2900,2800.0,2900.0,580,15,-0.030183486626611376,0.05492322953249398,0.09598774034496595,0.15880862267777526,0.21581226998613207
full36_grouped_cv_non027,C1_3k,C0+C1,3,7,0.1,29,v_2900_3000,2900.0,3000.0,345,11,-0.016066665760012068,0.054199399277564855,0.10099001905844604,0.1528743655722464,0.28869913450505236
exclude027_grouped_cv_non027,C1_3k,C0,3,7,0.1,0,v_0000_0100,0.0,100.0,323,11,0.16476217503504978,0.18033925181398608,0.2602972413815707,0.3044477107114174,0.3373106132157772
